TAIR ENTREZID
AT1G04020 839329
AT1G04030 839326
AT1G04040 839325
AT1G04050 839320
AT1G04070 839317
AT1G04080 839314
AT1G04090 839298
AT1G04100 839290
AT1G04105 NA
AT1G04110 839287
AT1G04120 839277
AT1G04130 839276
AT1G04140 839272
AT1G04150 839249
AT1G04160 839246
AT1G04170 839238
AT1G04180 837024
AT1G04190 839442
AT1G04200 839439
AT1G04210 839441
AT1G04220 839578
AT1G04230 839575
AT1G04240 839570
AT1G04250 839568
AT1G04260 839565
AT1G04270 839564
AT1G04280 839555
AT1G04290 839552
AT1G04300 839551
AT1G04310 839549
AT1G04330 839548
AT1G04340 839547
AT1G04350 839542
AT1G04360 839540
AT1G04370 839539
AT1G04380 839535
AT1G04390 839530
AT1G04400 839529
AT1G04410 839527
AT1G04420 839524
AT1G04430 839522
AT1G04440 839520
AT1G04445 28716121
AT1G04450 839513
AT1G04455 NA
AT1G04470 839512
AT1G04480 839511
AT1G04490 839509
AT1G04500 839510
AT1G04510 839503
AT1G04520 839502
AT1G04530 839500
AT1G04540 839498
AT1G04550 839495
AT1G04555 5007662
AT1G04560 839491
AT1G04570 839486
AT1G04580 839488
AT1G04590 839484
AT1G04600 839480
AT1G04610 839474
AT1G04620 839472
AT1G04625 3766658
AT1G04630 839465
AT1G04635 839460
AT1G04640 839462
AT1G04645 839459
AT1G04650 839457
AT1G04660 839454
AT1G04670 839451
AT1G04680 839452
AT1G04690 839450
AT1G04700 839437
AT1G04710 839434
AT1G04730 839431
AT1G04750 839419
AT1G04760 839424
AT1G04770 839418
AT1G04778 5007663
AT1G04780 839414
AT1G04790 839412
AT1G04800 839406
AT1G04810 839409
AT1G04820 839405
AT1G04830 839404
AT1G04840 839402
AT1G04850 839399
AT1G04860 839397
AT1G04870 839393
AT1G04880 839388
AT1G04890 839387
AT1G04895 NA
AT1G04900 839386
AT1G04910 839373
AT1G04920 839382
AT1G04930 839377
AT1G04945 5007664
AT1G04940 839374
AT1G04950 839370
AT1G04960 839346
AT1G04970 839357
AT1G04980 839355
AT1G04985 839352
AT1G04990 839351
AT1G05000 839348
AT1G05005 NA
AT1G05010 839345
AT1G05020 839343
AT1G05030 839340
AT1G05035 NA
AT1G05040 839338
AT1G05055 839332
AT1G05060 839336
AT1G05065 28716239
AT1G05070 839330
AT1G05080 839328
AT1G05085 2745742
AT1G05087 NA
AT1G05090 839327
AT1G05100 839324
AT1G05120 839319
AT1G05136 6240520
AT1G05140 839307
AT1G05150 839312
AT1G05160 839311
AT1G05170 839292
AT1G05180 839286
AT1G05190 839273
AT1G05200 839268
AT1G05205 839266
AT1G05210 839261
